id,title,date,location,description,time_range
127,Kick-Off Meeting,8/30/2017,001 Jennings Hall,SWE Monthly Meeting,7:00 pm-10:00 pm
128,September Monthly Meeting,9/20/2017,014 University Hall,SWE Monthly Meeting,7:00 pm-8:00 pm
129,October Monthly Meeting,10/18/2017,120 Baker Systems,SWE Monthly Meeting,7:00 pm-8:00 pm
130,November Monthly Meeting,11/15/2017,014 University Hall,SWE Monthly Meeting,7:00 pm-8:30 pm
131,December Monthly Meeting,12/3/2017,180 Hagerty Hall,SWE Monthly Meeting,7:00 pm-8:00 pm
132,SWE/IISE Networking Night,9/25/2017,Ohio Union - Cartoon Room,"SWE and IISE Networking Night the evening before the Engineering Expo Career Fair. (Actual event starts at 5:30 for companies, students arrive from 6:30-8:30)",6:30 pm-8:30 pm
133,Ice Cream Social,8/20/2017,Barbie Tootle Room in the Union,Kickoff to the school year and an intro to what Society of Women Engineers at Ohio State is all about. Socialize with officers and eat ice cream!,7:30 pm-8:30 pm
134,JP Morgan Chase Info Session,9/7/2017,Baker Systems Engineering Bldg: Room 136,"JP Morgan Chase will be having an info-session to discuss applying to the JPMC Tech Campus Tour and how to apply to summer/full time programs. Casual attire. 
",6:30 pm-7:30 pm
135,Ernst & Young Mock Interviews,9/14/2017,Baker Systems Engineering Bldg: Room 188,Prepare for the Engineering Expo with mock interviews with recruiters from E&Y. Please bring a resume. Business Casual attire.  ,6:30 pm-7:30 pm
136,Big Little Intro Brunch,9/2/2017,The Viewpoint (above Curl Market),Come join your fellow Swesters to eat some yummy brunch and learn about the Big little Program. The brunch will be a great chance to meet some of the future Bigs and Littles and see who you connect with!,10:00 am-11:30 am
137,RPAC VBALL,8/31/2017,Lincoln Tower Vball Court #1,"Outside sand volleyball at Court 1 and pizza in the Northwest Pavilion ! Come for fun game, pizza, music, and great company!:)",6:00 pm-8:00 pm
138,Woody's Social,9/5/2017,Woody's Tavern at The Ohio Union,Come to Woody's Tavern in the Ohio Union free food and a chance to socialize with SWE members :),6:30 pm-8:00 pm
139,Information SWE Meeting,9/7/2017,Baker System 130,Informal meeting where you can learn more about what all you can get out of SWE. Come and meeting some girls and enjoy Buckeye Donuts!,7:00 pm-8:00 pm
140,Big Little Crafts and Cookies,9/13/2017,Baker Systems 130,Come join your Swesters and Bigs/Littles to get your craft on while enjoying some delicious cookies! RSVP in the newsletter!,6:30 pm-7:30 pm
141,Big Little Mock Elevator Pitches,9/21/2017,Baker Systems 130,Come prep for the Engineering Expo with your Bigs/Littles/Swesters to get your elevator pitch ready to land you your dream internship or job!,7:00 pm-8:00 pm
142,Study Tables,9/10/2017,Dreese Labs 113,"Come out anytime between 12-5pm to make use of study tables with SWE, NSBE, SHPE, and SASE!",12:00 pm-5:00 pm
146,ECS Resume Workshop,9/18/2017,Scott Lab E024,"Join SWE, NSBE, and SHPE as we meet with ECS to learn the best resume tips and tricks!  Be sure to bring a few hard copies of your resume.",5:30 pm-7:30 pm
147,Capital One Resume Reviews,9/19/2017,Baker Systems Engineering Room 188,"Join Big/Little for Resume Reviews. You do not need to be in Big/Little to attend! Bring copies of your resume, or a laptop. 

Attire: Casual",6:30 pm-8:00 pm
148,MSE & SWE,10/16/2017,Baker Systems 120,"Join MSE Club and SWE to learn about a career in Materials Science and Engineering and the benefits of being involved in SWE!  OSU alumni and Central Ohio SWE President, Elisabeth Lahrman, will be sharing her experiences as a Materials Science Engineering and SWE member.  ",6:00 pm-8:00 pm
149,Study Tables,10/1/2017,Scott E004,Come study with your Swesters! Brain food snacks will be provided!,2:00 pm-4:30 pm
150,STEM Club Outreach,10/3/2017,Columbus Gifted Academy,Gummy Bear Towers,3:30 pm-5:15 pm
151,Arconic: How to Make the Most of Your Internship,10/10/2017,Baker Systems Engineering Room 136,"Join Arconic as we discuss How to Make the Most of Your Internship!
Pizza will be provided",6:30 pm-8:00 pm
152,Woody's Social,10/24/2017,Woody's Tavern at The Ohio Union,"Fun, food, and SWE, what could be better? Join us at Woody's Tavern for another Woody's Social!",6:30 pm-8:00 pm
153,Spa Night,11/8/2017,Creative Arts Room Ohio Union,De-stressing and making beauty / spa crafts!,6:30 pm-8:30 pm
154,Scheduling Info Session,10/23/2017,Baker Systems 120,"Come ask upperclassmen all about:
-Which classes come next in a sequence
-Professors to take (and which to avoid)
-Choosing an engineering focus
-The best gen eds to fulfill your requirements
-How to #THRIVE during second semester",7:00 pm-8:30 pm
155,Pumpkin Decorating,10/18/2017,Baker Systems 120,Decorating pumpkin and getting ~spooky~ with SWE,7:30 pm-8:00 pm
156,Big Little Cookie Decorating,10/23/2017,Nosker Kitchen,Come get into  the Halloween vibe with some fun cookie decorating with your Swesters!,7:00 pm-8:00 pm
157,Girl Scouts do Green Construction! ,11/5/2017,Caldwell 120,"Help the Girl Scouts of Columbus learn about green engineering, net-zero buildings, and LEED certifications!",12:00 pm-4:00 pm
158,Benefits Negotiation Strategies with Gerdau,11/6/2017,Baker Systems Engineering Room 136,Gerdau will be giving a presentation on salary negotiation and discuss their internship and associate management opportunities.  Adriatico's will be provided. Sign up here!  https://goo.gl/forms/pJYEW0xmTUEjzhTb2,6:00 pm-7:00 pm
159,Outreach: STEM Club,10/17/2017,Columbus Gifted Academy,Sorting Machines: An introduction to industrial engineering!,3:00 pm-5:00 pm
160,Outreach: STEM Club,10/24/2017,Columbus Gifted Academy,Making Slime: Intro to Chemical and Materials engineering,3:00 pm-5:00 pm
161,STEM Club,11/14/2017,Columbus Gifted Academy,"Helping Hand- An introduction to mechanical, and biomedical engineering",3:00 pm-5:30 pm
